ID,FNAME,REGION_ID
MG11101001A,1er Arrondissement,MG11
MG11101002A,2e Arrondissement,MG11
MG11101003A,3e Arrondissement,MG11
MG11101004A,4e Arrondissement,MG11
MG11101005A,5e Arrondissement,MG11
MG11101006A,6e Arrondissement,MG11
MG11102,Antananarivo Avaradrano,MG11
MG11103,Ambohidratrimo,MG11
MG11104,Ankazobe,MG11
MG11106,Manjakandriana,MG11
MG11107,Anjozorobe,MG11
MG11115,Andramasina,MG11
MG11117,Antananarivo Atsimondrano,MG11
MG12108,Antsirabe I,MG12
MG12109,Betafo,MG12
MG12110,Ambatolampy,MG12
MG12114,Antanifotsy,MG12
MG12116,Faratsiho,MG12
MG12118,Antsirabe II,MG12
MG12120,Mandoto,MG12
MG13105,Arivonimamo,MG13
MG13112,Miarinarivo,MG13
MG13113,Soavinandriana,MG13
MG14111,Tsiroanomandidy,MG14
MG14119,Fenoarivobe,MG14
MG21201,Fianarantsoa I,MG21
MG21205,Ambalavao,MG21
MG21208,Ambohimahasoa,MG21
MG21219,Ikalamavony,MG21
MG21220,Lalangina,MG21
MG21224,Vohibato,MG21
MG21225,Isandra,MG21
MG22202,Ambatofinandrahana,MG22
MG22203,Ambositra,MG22
MG22204,Fandriana,MG22
MG22223,Manandriana,MG22
MG23206,Ifanadiana,MG23
MG23207,Nosy-Varika,MG23
MG23209,Mananjary,MG23
MG23210,Manakara Atsimo,MG23
MG23211,Ikongo,MG23
MG23212,Vohipeno,MG23
MG24216,Ihosy,MG24
MG24218,Ivohibe,MG24
MG24221,Iakora,MG24
MG25213,Farafangana,MG25
MG25214,Vangaindrano,MG25
MG25215,Midongy-Atsimo,MG25
MG25217,Vondrozo,MG25
MG25222,Befotaka,MG25
MG31301,Toamasina I,MG31
MG31306,Brickaville,MG31
MG31307,Vatomandry,MG31
MG31308,Mahanoro,MG31
MG31309,Marolambo,MG31
MG31310,Toamasina II,MG31
MG31311,Antanambao Manampontsy,MG31
MG32302,Sainte Marie,MG32
MG32303,Maroantsetra,MG32
MG32304,Mananara-Avaratra,MG32
MG32305,Fenerive Est,MG32
MG32315,Vavatenina,MG32
MG32318,Soanierana Ivongo,MG32
MG33312,Amparafaravola,MG33
MG33313,Ambatondrazaka,MG33
MG33314,Moramanga,MG33
MG33316,Andilamena,MG33
MG33317,Anosibe-An'ala,MG33
MG41401,Mahajanga I,MG41
MG41403,Soalala,MG41
MG41405,Ambato Boeni,MG41
MG41406,Marovoay,MG41
MG41407,Mitsinjo,MG41
MG41415,Mahajanga II,MG41
MG42409,Port-Berge (Boriziny-Vaovao),MG42
MG42410,Mandritsara,MG42
MG42411,Analalava,MG42
MG42412,Befandriana Nord,MG42
MG42413,Antsohihy,MG42
MG42414,Bealanana,MG42
MG42423,Mampikony,MG42
MG43404,Maevatanana,MG43
MG43408,Tsaratanana,MG43
MG43416,Kandreho,MG43
MG44402,Besalampy,MG44
MG44417,Ambatomainty,MG44
MG44420,Antsalova,MG44
MG44421,Maintirano,MG44
MG44422,Morafenobe,MG44
MG51501,Toliary-I,MG51
MG51503,Beroroha,MG51
MG51504,Morombe,MG51
MG51505,Ankazoabo,MG51
MG51506,Betioky Atsimo,MG51
MG51507,Ampanihy Ouest,MG51
MG51512,Sakaraha,MG51
MG51520,Toliary-II,MG51
MG51521,Benenitra,MG51
MG52513,Beloha,MG52
MG52514,Tsihombe,MG52
MG52516,Ambovombe-Androy,MG52
MG52518,Bekily,MG52
MG53515,Taolagnaro,MG53
MG53517,Betroka,MG53
MG53519,Amboasary-Atsimo,MG53
MG54502,Manja,MG54
MG54508,Morondava,MG54
MG54509,Mahabo,MG54
MG54510,Belo Sur Tsiribihina,MG54
MG54511,Miandrivazo,MG54
MG71713,Antsiranana II,MG71
MG71715,Antsiranana I,MG71
MG71717,Ambilobe,MG71
MG71718,Nosy-Be,MG71
MG71719,Ambanja,MG71
MG72710,Antalaha,MG72
MG72711,Sambava,MG72
MG72712,Andapa,MG72
MG72716,Vohemar,MG72